PERIODO;PRODUTO;CENTRO DE LUCRO;QUANTIDADE;VALOR DA VENDA;VALOR UNITARIO;VALOR DO FRETE;VALOR DO IPI;MARGEM R$;MARGEM %
TODOS;GARRAFA SOPRADA 5L DIVERSOS;SOPRO;65296;107898.41;1.6524505329576085;350;1483.04;364.55746015924433;0.2799980492774534
TODOS;GARRAFÃO 10L  DIVERSOS SOPRO;SOPRO;18;260.82;14.49;0;0.0;6.732588807336843;0.4646369087188988
TODOS;GARRAFÃO 20L DIVERSOS SOPRO;SOPRO;26338;415378.5;15.771072215050497;3650;0.0;4.5682758627889495;0.2907877697510471
TODOS;ALÇA - 5 LITROS - DIVERSOS;INJEÇÃO;209296;26351.409999999996;0.1259049862395841;0;1308.9599999999998;43.757433741131564;0.34728122016771085
TODOS;TAMPA - 5 LITROS - DIVERSOS;INJEÇÃO;255296;30657.799999999992;0.12008727124592626;0;612.92;46.293412702504384;0.3857784391875365
TODOS;TAMPA P/ GARRAFÃO - 10/20L -DIVERSOS;INJEÇÃO;176000;26400.0;0.15;0;858.0;0.0;0.0
TODOS;PRE-FORMA 15,7G - DIVERSOS;INJEÇÃO;1242360;281649.78;0.22670544769631992;0;0.0;58.64508952377818;0.2583484119990228
TODOS;PRE-FORMA 83G - DIVERSOS;INJEÇÃO;192000;236489.6;1.2317166666666668;0;0.0;305.3076681592444;0.2478146657136724
TODOS;PRE-FORMA  155G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;0.0;0.0
TODOS;PRE-FORMA 400G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;0.0;0.0
TODOS;PRE-FORMA 700G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;0.0;0.0
1ª SEMANA;GARRAFA SOPRADA 5L DIVERSOS;SOPRO;60480;99868.01;1.651256779100529;350;1483.04;364.5575903592444;0.2799981492774535
1ª SEMANA;GARRAFÃO 10L  DIVERSOS SOPRO;SOPRO;18;260.82;14.49;0;0.0;6.732588807336843;0.4646369087188988
1ª SEMANA;GARRAFÃO 20L DIVERSOS SOPRO;SOPRO;24856;392078.6;15.774002252977148;3250;0.0;4.619251882788946;0.29283960205331216
1ª SEMANA;ALÇA - 5 LITROS - DIVERSOS;INJEÇÃO;204480;25653.09;0.12545525234741783;0;1308.9599999999998;42.91093374113157;0.3432874699290526
1ª SEMANA;TAMPA - 5 LITROS - DIVERSOS;INJEÇÃO;250480;30031.71999999999;0.11989667837751514;0;612.92;54.75841270250439;0.42121855925003376
1ª SEMANA;TAMPA P/ GARRAFÃO - 10/20L -DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
1ª SEMANA;PRE-FORMA 15,7G - DIVERSOS;INJEÇÃO;1242360;281649.78;0.22670544769631992;0;0.0;58.64508952377818;0.2583484119990228
1ª SEMANA;PRE-FORMA 83G - DIVERSOS;INJEÇÃO;192000;236489.6;1.2317166666666668;0;0.0;305.3076681592444;0.2478146657136724
1ª SEMANA;PRE-FORMA  155G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
1ª SEMANA;PRE-FORMA 400G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
1ª SEMANA;PRE-FORMA 700G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
2ª SEMANA;GARRAFA SOPRADA 5L DIVERSOS;SOPRO;4816;8030.400000000001;1.6674418604651164;0;0.0;377.2549001592446;0.2864501899462753
2ª SEMANA;GARRAFÃO 10L  DIVERSOS SOPRO;SOPRO;0;0.0;;0;0.0;;
2ª SEMANA;GARRAFÃO 20L DIVERSOS SOPRO;SOPRO;1482;23299.9;15.721929824561405;400;0.0;4.435179862788948;0.2821361235870832
2ª SEMANA;ALÇA - 5 LITROS - DIVERSOS;INJEÇÃO;4816;698.32;0.14500000000000002;0;0.0;59.840933741131565;0.41269609476642455
2ª SEMANA;TAMPA - 5 LITROS - DIVERSOS;INJEÇÃO;4816;626.0799999999999;0.12999999999999998;0;0.0;54.75841270250439;0.42121855925003376
2ª SEMANA;TAMPA P/ GARRAFÃO - 10/20L -DIVERSOS;INJEÇÃO;176000;26400.0;0.15;0;858.0;61.918603644583314;0.41279069096388876
2ª SEMANA;PRE-FORMA 15,7G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
2ª SEMANA;PRE-FORMA 83G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
2ª SEMANA;PRE-FORMA  155G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
2ª SEMANA;PRE-FORMA 400G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
2ª SEMANA;PRE-FORMA 700G - DIVERSOS;INJEÇÃO;0;0.0;;0;0.0;;
